employee_id,employee_age,gender,department,job_level,location,education,hire_date,hire_source,tenure_years,employment_type,salary,bonus_pct,benefits_tier,performance_rating,training_hours_annual,sick_days_annual,vacation_days_annual,remote_eligible,remote_work_pct,overtime_hours_annual,last_promotion_date,years_since_promotion,promotion_eligible,manager_flag,direct_reports,projects_count,top_performer,stock_options,attrition_risk,exit_date,last_review_date,next_review_date
EMP00001,62,M,Engineering,Lead,NYC,Associate,2016-04-01,LinkedIn,8.0,Part-time,202222,4.4,Premium,2,28,13,15,True,20,29,,,False,False,0,1,False,True,True,,2023-10-30,2024-06-09
EMP00002,32,M,Sales,Individual Contributor,NYC,Master,2022-10-30,Referral,1.4,Full-time,98061,6.5,Standard,3,37,5,24,True,0,186,,,False,False,0,2,False,False,False,,2023-11-14,2024-09-08
EMP00003,40,M,Finance,Director,Remote-US,Bachelor,2015-11-23,Agency,8.3,Full-time,296139,31.1,Premium,4,51,4,25,True,100,215,2021-10-19,2.4,True,True,16,11,False,True,True,2020-03-25,2023-12-07,2024-09-24
EMP00004,25,F,Operations,Senior Manager,Remote-US,Bachelor,2017-07-27,LinkedIn,6.6,Part-time,217199,7.0,Standard,3,16,10,22,True,100,151,,,False,True,11,13,False,True,False,,2023-09-24,2024-08-29
EMP00005,47,F,Engineering,Director,London,Master,2019-01-22,Agency,5.1,Full-time,391706,24.6,Premium,4,55,10,21,True,60,147,2022-04-19,1.9,False,True,15,7,False,True,False,,2024-02-12,2024-05-13
EMP00006,63,F,Engineering,Senior IC,Remote-US,High School,2018-10-25,Indeed,5.4,Full-time,117087,14.7,Standard,4,54,2,23,True,100,27,2019-08-26,4.6,True,False,0,4,False,False,True,,2023-10-02,2024-04-14
EMP00007,45,F,Engineering,Individual Contributor,London,Master,2024-01-18,University,0.2,Full-time,84626,0.6,Standard,2,74,4,17,False,0,140,,,False,False,0,3,False,False,True,,2023-12-22,2024-08-30
EMP00008,47,M,Customer Success,Senior IC,London,Bachelor,2022-07-14,Agency,1.7,Full-time,123184,0.2,Basic,3,27,3,24,True,0,181,,,False,False,0,4,False,False,True,2023-07-17,2023-12-16,2024-06-24
EMP00009,58,M,Sales,Lead,Toronto,Bachelor,2021-06-18,LinkedIn,2.7,Full-time,151000,10.3,Standard,2,23,14,15,False,0,82,2020-08-05,3.6,False,False,0,6,False,True,True,2022-01-30,2023-10-23,2024-05-19
EMP00010,26,M,Operations,Manager,HQ-SF,Associate,2019-12-21,Agency,4.2,Full-time,264068,14.6,Standard,5,35,6,22,True,60,281,2022-07-26,1.6,False,True,4,9,True,True,False,,2023-09-25,2024-09-30
EMP00011,25,M,Marketing,Individual Contributor,Austin,High School,2021-06-30,Referral,2.7,Full-time,80625,13.2,Standard,4,35,0,23,True,20,17,2021-09-05,2.5,True,False,0,4,False,False,False,,2023-09-19,2024-09-13
EMP00012,58,M,Engineering,Senior IC,Singapore,Bachelor,2020-11-11,University,3.3,Full-time,127725,5.4,Basic,3,19,7,20,False,0,18,2019-09-21,4.5,True,False,0,2,False,False,True,,2023-11-17,2024-05-01
EMP00013,56,F,Engineering,Senior Manager,Toronto,Master,2022-11-21,LinkedIn,1.3,Full-time,200253,2.4,Standard,1,40,4,19,True,0,240,,,False,True,7,7,False,True,True,,2023-12-09,2024-08-21
EMP00014,27,F,Sales,Individual Contributor,HQ-SF,Bachelor,2022-02-11,LinkedIn,2.1,Full-time,97753,7.4,Basic,2,24,13,23,True,0,176,,,False,False,0,1,False,False,False,,2024-01-13,2024-04-24
EMP00015,24,F,Engineering,Senior IC,HQ-SF,Bachelor,2019-01-05,Referral,5.2,Full-time,176884,14.7,Standard,4,53,2,18,False,0,45,2019-04-05,4.9,True,False,0,6,False,False,False,,2023-12-13,2024-06-21
EMP00016,24,M,Engineering,Manager,Remote-US,Bachelor,2020-04-11,Internal,3.9,Contract,177189,5.7,Premium,4,36,6,20,True,100,121,,,False,True,8,7,False,True,False,,2023-09-30,2024-07-07
EMP00017,33,F,HR,Individual Contributor,HQ-SF,Bachelor,2021-07-06,LinkedIn,2.7,Part-time,104892,3.5,Standard,3,26,1,21,False,0,48,2019-05-16,4.8,True,False,0,1,False,False,False,,2023-12-26,2024-07-16
EMP00018,61,M,Customer Success,Individual Contributor,Austin,Bachelor,2018-07-09,Agency,5.7,Full-time,90311,11.4,Basic,4,47,2,18,True,60,173,2019-12-06,4.3,True,False,0,7,False,False,True,2021-10-26,2023-09-19,2024-09-16
EMP00019,35,M,Sales,Senior Manager,Toronto,Master,2020-09-24,Agency,3.5,Full-time,251091,31.6,Standard,4,40,1,18,False,0,107,2022-01-07,2.2,False,True,15,10,False,True,False,,2023-09-20,2024-06-02
EMP00020,31,F,Marketing,Lead,Toronto,Master,2022-05-11,University,1.8,Part-time,155347,1.4,Premium,2,40,14,15,True,0,58,2020-05-06,3.9,False,False,0,6,False,True,False,,2023-10-08,2024-08-01
EMP00021,52,M,Engineering,Senior IC,Singapore,Bachelor,2020-01-18,Indeed,4.2,Full-time,141249,5.9,Basic,4,44,1,19,True,40,81,2021-08-07,2.6,False,False,0,7,False,False,False,,2023-11-02,2024-07-07
EMP00022,48,F,Finance,Lead,Singapore,High School,2019-05-15,Agency,4.8,Full-time,181021,8.7,Standard,4,60,5,19,False,0,53,2021-07-02,2.7,True,False,0,4,False,True,False,,2023-11-07,2024-07-09
EMP00023,51,M,HR,Manager,Remote-US,Master,2016-06-06,University,7.8,Full-time,195358,8.1,Premium,4,35,0,19,True,100,147,2022-05-04,1.9,False,True,6,8,False,True,False,,2023-10-30,2024-06-17
EMP00024,25,M,Engineering,Individual Contributor,Singapore,High School,2018-12-04,Internal,5.3,Full-time,74206,6.7,Standard,1,29,4,18,True,100,29,,,False,False,0,4,False,False,False,,2024-01-16,2024-05-25
EMP00025,41,F,Marketing,Manager,Remote-US,Master,2021-06-16,LinkedIn,2.7,Full-time,156704,6.6,Standard,2,13,9,25,True,100,203,,,False,True,4,15,False,True,False,,2023-10-28,2024-09-30
EMP00026,48,M,Engineering,Senior Manager,Singapore,Master,2020-06-30,University,3.7,Part-time,243419,1.4,Standard,3,40,10,19,False,0,285,,,False,True,14,10,False,True,False,,2023-11-24,2024-06-15
EMP00027,37,F,Sales,Individual Contributor,Remote-US,Bachelor,2023-06-01,LinkedIn,0.8,Full-time,66784,12.3,Basic,3,62,4,20,True,100,71,,,False,False,0,5,False,False,False,,2023-12-15,2024-07-27
EMP00028,63,F,Sales,Lead,HQ-SF,Bachelor,2022-12-25,LinkedIn,1.2,Contract,183112,15.0,Standard,3,21,7,23,True,60,95,,,False,False,0,6,False,True,False,,2024-01-15,2024-06-02
EMP00029,33,F,Engineering,Manager,Singapore,Master,2017-02-23,University,7.1,Full-time,244901,14.8,Standard,4,39,3,20,True,0,231,2022-11-18,1.3,False,True,4,3,False,True,False,,2023-10-12,2024-05-10
EMP00030,50,M,Engineering,Individual Contributor,Toronto,Bachelor,2018-10-27,LinkedIn,5.4,Part-time,94596,3.9,Basic,4,50,10,15,True,80,77,2022-12-16,1.2,False,False,0,7,False,False,False,,2023-10-04,2024-07-20
EMP00031,49,F,Customer Success,Individual Contributor,Singapore,High School,2018-06-04,Agency,5.8,Full-time,97077,6.2,Standard,4,32,2,18,True,0,40,2022-05-09,1.9,False,False,0,8,False,False,False,,2023-10-21,2024-05-02
EMP00032,62,F,Customer Success,Manager,Remote-US,Associate,2021-08-12,Internal,2.6,Full-time,145742,2.1,Standard,3,12,0,17,True,100,252,2019-03-18,5.0,True,True,4,12,False,True,False,,2023-11-29,2024-07-26
EMP00033,27,F,Engineering,Senior IC,Austin,Bachelor,2021-09-15,Indeed,2.5,Full-time,96500,5.4,Basic,1,37,0,25,False,0,147,2019-03-07,5.0,False,False,0,8,False,False,True,,2023-09-18,2024-08-03
EMP00034,44,M,Engineering,Lead,Toronto,Associate,2019-07-31,LinkedIn,4.6,Full-time,164771,5.3,Standard,3,22,8,15,True,40,32,2018-04-29,5.9,True,False,0,7,False,True,False,,2023-09-29,2024-08-10
EMP00035,53,F,Sales,Individual Contributor,Austin,Bachelor,2022-01-05,University,2.2,Full-time,88572,32.5,Standard,5,33,0,25,False,0,61,2022-02-24,2.1,False,False,0,7,False,False,False,,2024-01-15,2024-09-26
EMP00036,54,F,Engineering,Lead,Remote-US,Associate,2022-11-29,University,1.3,Full-time,137431,14.1,Premium,4,46,2,16,True,100,35,,,False,False,0,6,False,True,False,,2023-12-04,2024-06-29
EMP00037,31,M,Sales,Senior IC,London,Master,2020-01-04,Internal,4.2,Contract,155481,18.0,Standard,3,32,3,24,True,60,11,2020-04-24,3.9,True,False,0,7,False,False,False,,2024-01-07,2024-08-18
EMP00038,43,F,Finance,Manager,London,Master,2016-02-16,Agency,8.1,Part-time,201191,7.0,Standard,1,12,15,19,True,100,151,,,False,True,4,8,False,True,False,,2023-11-25,2024-09-21
EMP00039,24,M,Engineering,Senior IC,Austin,PhD,2021-12-04,Agency,2.3,Full-time,140090,4.2,Basic,4,50,1,22,True,40,7,2021-04-25,2.9,True,False,0,5,False,False,False,,2023-11-01,2024-09-05
EMP00040,61,F,Customer Success,Senior IC,London,Associate,2019-04-16,Internal,4.9,Full-time,134364,2.0,Basic,3,10,7,19,False,0,40,2018-06-04,5.8,True,False,0,5,False,False,False,,2023-11-29,2024-06-03
EMP00041,46,F,Sales,Individual Contributor,Singapore,Bachelor,2021-05-31,LinkedIn,2.8,Full-time,100831,21.9,Basic,5,48,10,15,False,0,190,2020-12-28,3.2,True,False,0,5,False,False,False,,2023-12-28,2024-09-19
EMP00042,65,F,Customer Success,Director,Singapore,Associate,2016-07-14,Internal,7.7,Contract,334617,30.9,Premium,4,32,4,20,False,0,94,2021-05-06,2.9,True,True,14,8,False,True,False,,2024-01-03,2024-06-18
EMP00043,40,F,Finance,Senior IC,Remote-US,Master,2023-05-16,LinkedIn,0.8,Full-time,104465,6.9,Standard,2,65,11,16,True,100,101,,,False,False,0,1,False,False,True,2023-12-20,2023-12-09,2024-09-10
EMP00044,65,F,Sales,Manager,London,Bachelor,2017-08-15,LinkedIn,6.6,Full-time,234871,30.9,Standard,4,59,4,25,True,20,61,2020-03-26,4.0,True,True,6,4,False,True,False,,2023-11-12,2024-08-30
EMP00045,48,M,Engineering,Senior IC,Remote-US,Master,2022-05-06,Referral,1.9,Full-time,112860,1.7,Standard,3,24,3,20,True,100,25,,,False,False,0,6,False,False,False,,2023-11-05,2024-06-23
EMP00046,51,F,Customer Success,Manager,London,PhD,2016-01-11,Internal,8.2,Full-time,236719,7.9,Standard,2,16,2,23,True,20,258,,,False,True,7,8,False,True,False,,2023-12-06,2024-05-21
EMP00047,29,M,Finance,Individual Contributor,Austin,Master,2022-05-31,Indeed,1.8,Contract,82045,1.4,Basic,3,11,2,21,True,100,16,,,False,False,0,6,False,False,True,2023-11-27,2024-02-03,2024-09-29
EMP00048,25,F,Operations,Senior IC,HQ-SF,Bachelor,2020-05-15,University,3.8,Full-time,167551,4.0,Standard,5,49,2,16,True,80,162,2021-07-26,2.6,True,False,0,7,True,True,False,,2024-01-20,2024-05-13
EMP00049,35,F,Sales,Senior IC,Austin,Master,2019-10-28,Indeed,4.4,Full-time,134106,9.7,Basic,3,20,10,19,True,20,175,,,False,False,0,2,False,False,True,2022-04-29,2023-11-11,2024-05-17
EMP00050,43,F,Engineering,Individual Contributor,Singapore,Master,2022-07-07,Indeed,1.7,Full-time,95003,0.4,Standard,3,19,9,19,True,80,129,2019-07-31,4.6,True,False,0,4,False,False,False,,2024-01-16,2024-06-24
EMP00051,61,M,Marketing,Senior IC,London,Master,2021-11-18,LinkedIn,2.3,Full-time,147837,5.2,Basic,4,52,4,20,True,20,36,2022-07-02,1.7,False,False,0,3,False,False,False,,2023-10-02,2024-06-08
EMP00052,41,F,Engineering,Manager,London,Associate,2023-02-03,LinkedIn,1.1,Full-time,164246,4.9,Standard,2,12,8,22,False,0,174,,,False,True,8,9,False,True,True,,2023-10-27,2024-05-12
EMP00053,64,F,Engineering,Senior IC,London,High School,2018-06-17,Referral,5.7,Full-time,142401,6.1,Basic,3,34,4,19,True,0,127,,,False,False,0,3,False,False,False,,2023-09-24,2024-07-13
EMP00054,23,M,IT,Manager,London,Bachelor,2020-02-27,Indeed,4.0,Full-time,205106,2.3,Standard,3,10,5,17,False,0,208,,,False,True,6,14,False,True,True,2020-10-30,2023-09-17,2024-07-25
EMP00055,43,F,Engineering,Senior IC,London,Bachelor,2017-06-26,LinkedIn,6.7,Full-time,142677,6.2,Standard,3,21,10,17,True,20,65,2019-10-18,4.4,True,False,0,2,False,False,True,,2023-09-23,2024-09-09
EMP00056,62,M,Engineering,Manager,Austin,Bachelor,2022-01-02,Indeed,2.2,Full-time,155796,2.4,Premium,2,28,1,20,True,40,168,,,False,True,5,3,False,True,True,,2024-01-22,2024-09-18
EMP00057,24,M,Finance,Lead,NYC,Bachelor,2020-01-17,LinkedIn,4.2,Full-time,189830,0.5,Standard,3,13,5,16,True,20,5,2020-06-14,3.8,True,False,0,8,False,True,False,,2023-12-04,2024-07-22
EMP00058,62,M,Engineering,Individual Contributor,London,Bachelor,2022-04-05,Indeed,1.9,Full-time,90612,5.3,Basic,3,39,9,17,True,80,169,2020-10-21,3.4,True,False,0,7,False,False,False,,2023-09-24,2024-07-19
EMP00059,65,F,Engineering,Lead,London,Bachelor,2020-11-26,Agency,3.3,Full-time,171547,1.7,Premium,3,40,7,18,True,20,19,2018-10-30,5.4,True,False,0,2,False,True,False,,2023-10-03,2024-04-23
EMP00060,60,F,Engineering,Senior IC,Singapore,Master,2019-03-24,LinkedIn,5.0,Contract,150822,8.3,Premium,4,43,5,25,False,0,113,2021-06-12,2.8,True,False,0,8,False,False,False,,2023-10-17,2024-06-02
EMP00061,51,F,Engineering,Individual Contributor,London,Bachelor,2023-08-18,LinkedIn,0.6,Full-time,77019,4.8,Basic,2,56,1,25,True,40,141,,,False,False,0,2,False,False,False,,2024-01-24,2024-05-25
EMP00062,49,M,IT,Lead,Remote-US,Master,2016-01-11,Agency,8.2,Full-time,194088,7.8,Standard,5,41,3,21,True,100,10,2023-08-14,0.6,False,False,0,2,False,True,False,,2023-12-03,2024-08-12
EMP00063,50,F,Engineering,Individual Contributor,Austin,Associate,2021-11-25,Indeed,2.3,Full-time,74647,4.9,Standard,2,23,3,19,True,0,12,2019-08-26,4.6,False,False,0,8,False,False,True,,2023-09-30,2024-04-18
EMP00064,40,M,Engineering,Senior IC,London,Bachelor,2019-10-25,University,4.4,Full-time,142255,14.7,Basic,4,32,8,23,True,80,141,2021-01-31,3.1,True,False,0,1,False,False,False,,2024-02-10,2024-07-14
