user_id,signup_date,plan_tier,industry,company_size,country,primary_feature,mrr,dau_avg,sessions_30d,api_calls_30d,storage_gb,feature_count_used,support_tickets_30d,nps_score,login_streak_days,time_to_first_value_days,avg_session_minutes,payment_method,status,last_login_date,subscription_renewal_date,churn_date,first_payment_date,beta_analytics_enabled,beta_ai_enabled,payment_failed,support_ticket_open,champion_user,mobile_app_user
USR0001,2020-04-01,Free,Finance,1-10,Canada,Analytics,0,3,48,912,3,5,0,6,10,8,5,,Active,2026-03-16,2026-04-22,,,false,false,false,false,false,true
USR0002,2022-10-10,Free,Healthcare,1-10,Australia,Reporting,0,2,39,1080,3,5,0,5,5,1,19,,Active,2026-03-11,2026-11-06,,,false,false,false,false,false,false
USR0003,2023-04-06,Free,Media,11-50,Canada,Collaboration,0,2,33,1140,3,4,0,3,25,9,17,,Active,2026-03-16,2026-05-06,,,false,false,false,false,false,false
USR0004,2022-07-12,Free,Healthcare,1-10,Other,Automation,0,3,61,978,3,4,0,5,4,14,15,,Active,2026-03-16,2026-07-31,,,false,false,false,false,false,false
USR0005,2023-04-13,Starter,Healthcare,11-50,US,Analytics,99,8,135,8407,32,8,0,9,21,9,37,Credit Card,Active,2026-03-11,2026-06-17,,2023-04-18,false,false,false,false,false,true
USR0006,2024-12-12,Enterprise,Education,51-200,US,Analytics,4999,37,830,116509,364,29,0,10,154,3,45,ACH,Active,2026-03-12,2026-12-30,,2024-12-15,true,false,false,false,false,false
USR0007,2023-06-23,Enterprise,Media,51-200,Other,Analytics,1499,44,781,135182,728,31,2,8,232,11,37,ACH,Active,2026-03-12,2026-09-04,,2023-06-27,true,false,false,true,false,false
USR0008,2019-08-10,Professional,Media,1-10,India,Collaboration,499,19,333,25126,155,18,5,9,99,14,38,Credit Card,Active,2026-03-16,2026-09-08,,2019-08-12,true,false,false,false,false,true
USR0009,2024-02-07,Free,Media,201-1000,Other,Automation,0,1,11,199,3,5,0,0,0,9,18,,Churned,,,2025-10-12,,false,false,true,false,false,true
USR0010,2021-10-05,Starter,SaaS,11-50,India,Reporting,99,8,148,6172,24,11,0,9,10,8,16,Credit Card,Active,2026-03-12,2026-10-30,,2021-10-10,false,false,false,false,false,false
USR0011,2023-02-22,Free,Healthcare,11-50,France,Reporting,0,2,40,1171,2,5,0,7,7,5,7,,Active,2026-03-14,2026-05-10,,,false,false,false,false,false,true
USR0012,2024-09-01,Starter,Other,1-10,India,Collaboration,99,,,,26,7,0,5,0,15,27,Credit Card,Churned,,,2025-07-10,2024-09-06,false,false,false,false,false,false
USR0013,2019-06-13,Professional,Ecommerce,51-200,UK,Collaboration,499,12,206,46249,199,18,3,9,60,15,21,PayPal,Active,2026-03-15,2026-07-17,,2019-06-15,false,true,false,false,false,true
USR0014,2022-06-04,Professional,Other,11-50,US,Automation,499,23,380,32420,182,17,0,10,63,3,34,ACH,Active,2026-03-14,2026-06-08,,2022-06-05,true,true,false,false,false,false
USR0015,2021-02-17,Free,Media,1-10,Germany,Collaboration,0,4,85,1069,4,4,0,4,20,3,20,,Active,2026-03-13,2026-05-14,,,false,false,false,false,false,true
USR0016,2019-01-02,Starter,Ecommerce,11-50,Australia,Integration,99,12,241,12980,28,8,0,6,58,4,21,Invoice,Active,2026-03-15,2026-01-28,,2019-01-04,false,false,true,false,false,true
